[2024-06-10 22:40:18,127][__main__][INFO] - Base model: resnet18
[2024-06-10 22:40:18,128][__main__][INFO] - feature dim: 512, projection dim: 128
[2024-06-10 22:53:42,857][__main__][INFO] - ==> Save checkpoint. Train epoch 50, SimCLR loss: 5.5836
[2024-06-10 23:07:26,525][__main__][INFO] - ==> Save checkpoint. Train epoch 100, SimCLR loss: 5.5176
[2024-06-10 23:21:07,923][__main__][INFO] - ==> Save checkpoint. Train epoch 150, SimCLR loss: 5.4801
[2024-06-10 23:35:36,774][__main__][INFO] - ==> Save checkpoint. Train epoch 200, SimCLR loss: 5.4566
[2024-06-10 23:50:05,756][__main__][INFO] - ==> Save checkpoint. Train epoch 250, SimCLR loss: 5.4375
[2024-06-11 00:04:16,968][__main__][INFO] - ==> Save checkpoint. Train epoch 300, SimCLR loss: 5.4201
[2024-06-11 00:18:18,576][__main__][INFO] - ==> Save checkpoint. Train epoch 350, SimCLR loss: 5.4064
[2024-06-11 00:31:59,976][__main__][INFO] - ==> Save checkpoint. Train epoch 400, SimCLR loss: 5.3977
[2024-06-11 00:45:54,081][__main__][INFO] - ==> Save checkpoint. Train epoch 450, SimCLR loss: 5.3879
[2024-06-11 01:00:33,592][__main__][INFO] - ==> Save checkpoint. Train epoch 500, SimCLR loss: 5.3776
[2024-06-11 01:16:21,294][__main__][INFO] - ==> Save checkpoint. Train epoch 550, SimCLR loss: 5.3682
[2024-06-11 01:32:05,027][__main__][INFO] - ==> Save checkpoint. Train epoch 600, SimCLR loss: 5.3610
[2024-06-11 01:47:51,909][__main__][INFO] - ==> Save checkpoint. Train epoch 650, SimCLR loss: 5.3524
[2024-06-11 02:03:44,328][__main__][INFO] - ==> Save checkpoint. Train epoch 700, SimCLR loss: 5.3459
[2024-06-11 02:19:21,939][__main__][INFO] - ==> Save checkpoint. Train epoch 750, SimCLR loss: 5.3395
[2024-06-11 02:35:10,119][__main__][INFO] - ==> Save checkpoint. Train epoch 800, SimCLR loss: 5.3328
[2024-06-11 02:51:01,282][__main__][INFO] - ==> Save checkpoint. Train epoch 850, SimCLR loss: 5.3305
[2024-06-11 03:06:48,798][__main__][INFO] - ==> Save checkpoint. Train epoch 900, SimCLR loss: 5.3209
[2024-06-11 03:22:27,718][__main__][INFO] - ==> Save checkpoint. Train epoch 950, SimCLR loss: 5.3186
[2024-06-11 03:38:19,155][__main__][INFO] - ==> Save checkpoint. Train epoch 1000, SimCLR loss: 5.3142
[2024-06-11 03:54:05,359][__main__][INFO] - ==> Save checkpoint. Train epoch 1050, SimCLR loss: 5.3066
[2024-06-11 04:09:53,713][__main__][INFO] - ==> Save checkpoint. Train epoch 1100, SimCLR loss: 5.3043
[2024-06-11 04:25:45,180][__main__][INFO] - ==> Save checkpoint. Train epoch 1150, SimCLR loss: 5.3035
[2024-06-11 04:41:22,599][__main__][INFO] - ==> Save checkpoint. Train epoch 1200, SimCLR loss: 5.2951
[2024-06-11 04:57:11,074][__main__][INFO] - ==> Save checkpoint. Train epoch 1250, SimCLR loss: 5.2881
[2024-06-11 05:13:02,224][__main__][INFO] - ==> Save checkpoint. Train epoch 1300, SimCLR loss: 5.2865
[2024-06-11 05:28:49,381][__main__][INFO] - ==> Save checkpoint. Train epoch 1350, SimCLR loss: 5.2853
[2024-06-11 05:44:29,603][__main__][INFO] - ==> Save checkpoint. Train epoch 1400, SimCLR loss: 5.2791
[2024-06-11 06:00:19,046][__main__][INFO] - ==> Save checkpoint. Train epoch 1450, SimCLR loss: 5.2733
[2024-06-11 06:16:06,463][__main__][INFO] - ==> Save checkpoint. Train epoch 1500, SimCLR loss: 5.2686
[2024-06-11 06:31:54,959][__main__][INFO] - ==> Save checkpoint. Train epoch 1550, SimCLR loss: 5.2656
[2024-06-11 06:47:46,066][__main__][INFO] - ==> Save checkpoint. Train epoch 1600, SimCLR loss: 5.2638
[2024-06-11 09:41:27,870][__main__][INFO] - ==> Save checkpoint. Train epoch 1650, SimCLR loss: 5.2609
[2024-06-11 09:54:53,029][__main__][INFO] - ==> Save checkpoint. Train epoch 1700, SimCLR loss: 5.2602
[2024-06-11 10:08:18,902][__main__][INFO] - ==> Save checkpoint. Train epoch 1750, SimCLR loss: 5.2542
[2024-06-11 10:21:41,172][__main__][INFO] - ==> Save checkpoint. Train epoch 1800, SimCLR loss: 5.2531
[2024-06-11 10:35:05,724][__main__][INFO] - ==> Save checkpoint. Train epoch 1850, SimCLR loss: 5.2531
[2024-06-11 10:48:31,425][__main__][INFO] - ==> Save checkpoint. Train epoch 1900, SimCLR loss: 5.2509
[2024-06-11 11:01:57,526][__main__][INFO] - ==> Save checkpoint. Train epoch 1950, SimCLR loss: 5.2488
[2024-06-11 11:15:24,022][__main__][INFO] - ==> Save checkpoint. Train epoch 2000, SimCLR loss: 5.2484
